,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,mda_negative_score,mda_polarity_score,mda_average_sentence_length,mda_percentage_of_complex_words,mda_fog_index,mda_complex_word_count,mda_word_count,mda_uncertainty_score,mda_constraining_score,mda_positive_word_proportion,mda_negative_word_proportion,mda_uncertainty_word_proportion,mda_constraining_word_proportion,qqdmr_positive_score,qqdmr_negative_score,qqdmr_polarity_score,qqdmr_average_sentence_length,qqdmr_percentage_of_complex_words,qqdmr_fog_index,qqdmr_complex_word_count,qqdmr_word_count,qqdmr_uncertainty_score,qqdmr_constraining_score,qqdmr_positive_word_proportion,qqdmr_negative_word_proportion,qqdmr_uncertainty_word_proportion,qqdmr_constraining_word_proportion,rf_positive_score,rf_negative_score,rf_polarity_score,rf_average_sentence_length,rf_percentage_of_complex_words,rf_fog_index,rf_complex_word_count,rf_word_count,rf_uncertainty_score,rf_constraining_score,rf_positive_word_proportion,rf_negative_word_proportion,rf_uncertainty_word_proportion,rf_constraining_word_proportion,constraining_words_whole_report
51,4457,AMERCO /NV/,200108,2001-08-10,10-Q,edgar/data/4457/0000004457-01-500081.txt,22,-0.5714285510204089,885.0,0.280225988700565,354.1120903954802,496,1770,24,11,0.003389830508474576,0.012429378531073447,0.013559322033898305,0.0062146892655367235,0,0,0.0,29.0,0.20689655172413793,11.682758620689656,6,29,1,0,0.0,0.0,0.034482758620689655,0.0,,,,,,,,,,,,,,,27.0
52,4457,AMERCO /NV/,200108,2001-08-10,10-Q/A,edgar/data/4457/0000004457-01-500083.txt,44,-0.6603773460306162,1363.5,0.24642464246424642,545.4985698569857,672,2727,27,7,0.0033003300330033004,0.016134946828016136,0.009900990099009901,0.002566923359002567,0,0,0.0,29.0,0.20689655172413793,11.682758620689656,6,29,1,0,0.0,0.0,0.034482758620689655,0.0,,,,,,,,,,,,,,,19.0
53,4515,AMERICAN AIRLINES INC,200810,2008-10-16,10-Q,edgar/data/4515/0000004515-08-000073.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.0
54,4515,AMERICAN AIRLINES INC,200902,2009-02-19,10-K,edgar/data/4515/0000004515-09-000008.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,209,-0.5655430690429099,625.5,0.35038635758060216,250.34015454303227,1315,3753,117,72,0.015454303224087397,0.05568878230748734,0.03117505995203837,0.019184652278177457,789.0
55,4515,AMERICAN AIRLINES INC,200904,2009-04-16,10-Q,edgar/data/4515/0000004515-09-000018.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0
56,4515,AMERICAN AIRLINES INC,200907,2009-07-15,10-Q,edgar/data/4515/0000004515-09-000029.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0
57,4515,AMERICAN AIRLINES INC,200910,2009-10-21,10-Q,edgar/data/4515/0000004515-09-000039.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0
58,4515,AMERICAN AIRLINES INC,200911,2009-11-06,10-Q/A,edgar/data/4515/0000004515-09-000041.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
59,4515,AMERICAN AIRLINES INC,201002,2010-02-17,10-K,edgar/data/4515/0000004515-10-000006.txt,98,-0.18072289047757295,1815.6666666666667,0.29373967321461353,726.3841625359526,1600,5447,108,72,0.012483936111621076,0.01799155498439508,0.019827427941986414,0.013218285294657609,7,11,-0.2222222098765439,286.0,0.2878787878787879,114.51515151515153,247,858,34,3,0.008158508158508158,0.01282051282051282,0.039627039627039624,0.0034965034965034965,59,235,-0.5986394537461243,1149.75,0.34290063057186343,460.0371602522288,1577,4599,161,88,0.012828875842574472,0.05109806479669493,0.0350076103500761,0.01913459447706023,363.0
60,4515,AMERICAN AIRLINES INC,201004,2010-04-21,10-Q,edgar/data/4515/0000004515-10-000016.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0
61,4515,AMERICAN AIRLINES INC,201007,2010-07-21,10-Q,edgar/data/4515/0000950123-10-066865.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.0
62,4515,AMERICAN AIRLINES INC,201010,2010-10-20,10-Q,edgar/data/4515/0000950123-10-094615.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0
63,4962,AMERICAN EXPRESS CO,201404,2014-04-29,10-Q,edgar/data/4962/0001193125-14-167067.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,-0.9999990000010001,39.5,0.16455696202531644,15.865822784810128,13,79,9,0,0.0,0.012658227848101266,0.11392405063291139,0.0,245.0
64,4962,AMERICAN EXPRESS CO,201407,2014-07-30,10-Q,edgar/data/4962/0001193125-14-286961.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,40,-0.42857142091836753,383.0,0.30548302872062666,153.32219321148827,234,766,37,3,0.020887728459530026,0.05221932114882506,0.048302872062663184,0.0039164490861618795,254.0
65,5588,AMERICAN PAD & PAPER CO,199611,1996-11-06,10-Q,edgar/data/5588/0000930661-96-001510.txt,6,0.399999980000001,268.0,0.23196517412935325,107.29278606965175,373,1608,22,8,0.008706467661691543,0.0037313432835820895,0.013681592039800995,0.004975124378109453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
66,5588,AMERICAN PAD & PAPER CO,199703,1997-03-31,10-K,edgar/data/5588/0000950134-97-002428.txt,25,0.03846153772189351,467.2857142857143,0.2500764292265362,187.01431628597632,818,3271,53,12,0.008254356465912565,0.007642922653622745,0.01620299602568022,0.0036686028737389176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.0
67,5588,AMERICAN PAD & PAPER CO,199705,1997-05-15,10-Q,edgar/data/5588/0000950134-97-003934.txt,4,-0.9999997500000625,88.0,0.3409090909090909,35.336363636363636,30,88,3,1,0.0,0.045454545454545456,0.03409090909090909,0.011363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
68,5588,AMERICAN PAD & PAPER CO,199708,1997-08-14,10-Q,edgar/data/5588/0000950134-97-006223.txt,4,-0.9999997500000625,87.0,0.3448275862068966,34.93793103448276,30,87,3,1,0.0,0.04597701149425287,0.034482758620689655,0.011494252873563218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0
69,5588,AMERICAN PAD & PAPER CO,199711,1997-11-14,10-Q,edgar/data/5588/0000950134-97-008577.txt,4,-0.9999997500000625,86.0,0.3488372093023256,34.53953488372093,30,86,3,1,0.0,0.046511627906976744,0.03488372093023256,0.011627906976744186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
70,5588,AMERICAN PAD & PAPER CO,199803,1998-03-27,10-K,edgar/data/5588/0000950134-98-002477.txt,45,-0.36363635812672185,648.0,0.26080246913580246,259.3043209876543,1014,3888,47,18,0.005401234567901234,0.011574074074074073,0.012088477366255145,0.004629629629629629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0
